Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0694344,94.5,72,113,73.3,5.69,3.96,465.204,2.21,14.29,0.980,36.8
0.12,0.0694344,94.5,72,113,73.3,5.69,3.93,465.204,2.21,14.29,0.980,36.8
0.16,0.0694344,94.5,72,113,73.3,5.69,3.91,465.204,2.21,14.29,0.980,36.8
0.22,0.0694344,94.5,72,113,73.3,5.69,3.88,465.204,2.21,14.29,0.980,36.8
0.26,0.0694344,94.5,72,113,73.3,5.69,3.87,465.204,2.21,14.29,0.980,36.8
0.32,0.0694344,94.5,72,113,73.3,5.69,3.85,465.204,2.21,14.29,0.980,36.8
0.36,0.0694344,94.5,72,113,73.3,5.69,3.84,465.204,2.21,14.29,0.980,36.8
0.42,0.0694344,94.5,72,113,73.3,5.69,3.84,465.204,2.21,14.29,0.980,36.8
0.46,0.0694344,94.5,72,113,73.3,5.69,3.85,465.204,2.21,14.29,0.980,36.8
0.52,0.0694251,94.5,72,113,73.3,5.69,3.87,465.204,2.21,14.29,0.980,36.8
0.56,0.0694251,94.5,72,113,73.3,5.69,3.89,465.204,2.21,14.29,0.980,36.8
0.62,0.0694251,94.5,72,113,73.3,5.69,3.91,465.204,2.21,14.29,0.980,36.8
0.66,0.0694251,94.5,72,113,73.3,5.69,3.92,465.204,2.21,14.29,0.980,36.8
0.72,0.0694251,94.5,72,113,73.3,5.69,3.94,465.204,2.21,14.29,0.980,36.8
0.76,0.0694251,94.5,72,113,73.3,5.69,3.96,465.204,2.21,14.29,0.980,36.8
0.82,0.0694251,94.5,72,113,73.3,5.69,3.98,465.204,2.21,14.29,0.980,36.8
0.86,0.0694251,94.5,72,113,73.3,5.69,3.98,465.204,2.21,14.29,0.980,36.8
0.92,0.0694251,94.5,72,113,73.3,5.69,3.94,462.607,2.21,14.29,0.980,36.8
0.96,0.0694251,94.5,72,113,73.3,5.69,3.92,462.607,2.22,14.29,0.980,36.8
1.02,0.0694251,94.5,72,113,73.3,5.69,3.89,462.607,2.23,14.29,0.980,36.8
1.06,0.0694251,94.5,72,113,73.3,5.69,3.88,462.607,2.25,14.29,0.980,36.8
1.12,0.0694251,94.5,72,113,73.3,5.69,3.86,462.607,2.27,14.29,0.980,36.8
1.16,0.0694251,94.5,72,113,73.3,5.69,3.85,462.607,2.29,14.29,0.980,36.8
1.22,0.0694251,94.5,72,113,73.3,5.69,3.83,462.607,2.31,14.29,0.980,36.8
1.26,0.0694251,94.5,72,113,73.3,5.69,3.84,462.607,2.33,14.29,0.980,36.8
1.32,0.0694408,94.5,72.7,113,73.4,5.73,3.86,462.607,2.36,14.29,0.980,36.8
1.36,0.0694408,94.5,72.7,113,73.4,5.73,3.87,462.607,2.38,14.29,0.980,36.8
1.42,0.0694408,94.5,72.7,113,73.4,5.73,3.89,462.607,2.40,14.29,0.980,36.8
1.46,0.0694408,94.5,72.7,113,73.4,5.73,3.90,462.607,2.42,14.29,0.980,36.8
1.52,0.0694408,94.5,72.7,113,73.4,5.73,3.93,462.607,2.44,14.29,0.980,36.8
1.56,0.0694408,94.5,72.7,113,73.4,5.73,3.94,462.607,2.46,14.29,0.980,36.8
1.62,0.0694408,94.5,72.7,113,73.4,5.73,3.96,462.607,2.48,14.29,0.980,36.8
1.66,0.0694408,94.5,72.7,113,73.4,5.73,3.98,462.607,2.50,14.29,0.980,36.8
1.72,0.0694408,94.5,72.7,113,73.4,5.73,3.97,462.607,2.52,14.29,0.980,36.8
1.76,0.0694408,94.5,72.7,113,73.4,5.73,3.94,462.607,2.54,14.29,0.980,36.8
1.82,0.0694408,94.5,72.7,113,73.4,5.73,3.91,462.607,2.56,14.29,0.980,36.8
1.86,0.0694408,94.5,72.7,113,73.4,5.73,3.89,462.607,2.57,14.29,0.980,36.8
1.92,0.0694408,94.5,72.7,113,73.4,5.73,3.87,462.607,2.59,14.29,0.980,36.8
1.96,0.0694408,94.5,72.7,113,73.4,5.73,3.85,462.607,2.60,14.29,0.980,36.8
2.02,0.0694408,94.5,72.7,113,73.4,5.73,3.84,462.607,2.62,14.29,0.980,36.8
2.06,0.0694408,94.5,72.7,113,73.4,5.73,3.83,462.607,2.63,14.29,0.980,36.8
2.12,0.0694408,94.5,72.7,113,73.3,5.73,3.84,462.607,2.64,14.29,0.980,36.8
2.16,0.0694666,94.5,72.7,113,73.3,5.73,3.85,462.607,2.65,14.29,0.980,36.8
2.22,0.0694666,94.5,72.7,113,73.3,5.73,3.87,462.607,2.67,14.29,0.980,36.8
2.26,0.0694666,94.5,72.7,113,73.3,5.73,3.89,462.607,2.68,14.29,0.980,36.8
2.32,0.0694666,94.5,72.7,113,73.3,5.73,3.91,462.607,2.65,14.29,0.980,36.8
2.36,0.0694666,94.5,72.7,113,73.3,5.73,3.92,462.607,2.62,14.29,0.980,36.8
2.42,0.0694666,94.5,72.7,113,73.3,5.73,3.95,462.607,2.56,14.29,0.980,36.8
2.46,0.0694666,94.5,72.7,113,73.3,5.73,3.96,462.607,2.52,14.29,0.980,36.8
2.52,0.0694666,94.5,72.7,113,73.3,5.73,3.98,462.607,2.46,14.29,0.980,36.8
2.56,0.0694666,94.5,72.7,113,73.3,5.73,3.96,462.607,2.42,14.29,0.980,36.8
2.62,0.0694666,94.5,72.7,113,73.3,5.73,3.93,462.607,2.38,14.29,0.980,36.8
2.66,0.0694666,94.5,72.7,113,73.3,5.73,3.91,462.607,2.35,14.29,0.980,36.8
2.72,0.0694666,94.5,72.7,113,73.3,5.73,3.88,462.607,2.32,14.29,0.980,36.8
2.76,0.0694666,94.5,72.7,113,73.3,5.73,3.87,462.607,2.30,14.29,0.980,36.8
2.82,0.0694666,94.5,72.7,113,73.3,5.73,3.85,462.607,2.28,14.29,0.980,36.8
2.86,0.0694666,94.5,72.7,113,73.3,5.73,3.84,462.607,2.27,14.29,0.980,36.8
2.92,0.0694666,94.5,72.7,113,73.3,5.73,3.83,462.607,2.26,14.29,0.980,36.8
2.96,0.0694666,94.5,72.7,113,73.3,5.74,3.84,462.607,2.25,14.29,0.980,36.8
3.02,0.0694445,94.5,72.7,113,73.3,5.74,3.86,462.607,2.24,14.29,0.980,36.8
3.06,0.0694445,94.5,72.7,113,73.3,5.74,3.87,462.607,2.23,14.29,0.980,36.8
3.12,0.0694445,94.5,72.7,113,73.3,5.74,3.89,462.607,2.23,14.29,0.980,36.8
3.16,0.0694445,94.5,72.7,113,73.3,5.74,3.91,462.607,2.22,14.29,0.980,36.8
3.22,0.0694445,94.5,72.7,113,73.3,5.74,3.93,462.607,2.22,14.29,0.980,36.8
3.26,0.0694445,94.5,72.7,113,73.3,5.74,3.94,462.607,2.22,14.29,0.980,36.8
3.32,0.0694445,94.5,72.7,113,73.3,5.74,3.97,462.607,2.22,14.29,0.980,36.8
3.36,0.0694445,94.5,72.7,113,73.3,5.74,3.98,462.607,2.21,14.29,0.980,36.8
3.42,0.0694445,94.5,72.7,113,73.3,5.74,3.95,462.607,2.21,14.29,0.980,36.8
3.46,0.0694445,94.5,72.7,113,73.3,5.74,3.93,462.607,2.21,14.29,0.980,36.8
3.52,0.0694445,94.5,72.7,113,73.3,5.74,3.90,462.607,2.21,14.29,0.980,36.8
3.56,0.0694445,94.5,72.7,113,73.3,5.74,3.88,462.607,2.21,14.29,0.980,36.8
3.62,0.0694445,94.5,72.7,113,73.3,5.74,3.86,462.607,2.21,14.29,0.980,36.8
3.66,0.0694445,94.5,72.7,113,73.3,5.74,3.85,462.607,2.21,14.29,0.980,36.8
3.72,0.0694445,94.5,72.7,113,73.3,5.74,3.83,462.607,2.21,14.29,0.980,36.8
3.76,0.0694445,94.5,72.7,113,73.3,5.74,3.83,462.607,2.21,14.29,0.980,36.8
